r_arcsec,x_over_rc,kappa_glafic_raw,kappa_glafic_denoised,kappa_shape_dimless,kappa_glafic_norm,kappa_shape_norm
1.878560966854925934e-02,1.878560966854925934e-02,1.313958863601911065e-04,1.313958863601911065e-04,8.092671349507077894e-01,9.996093580830088809e-01,9.996093580869144235e-01
1.961363184363592443e-02,1.961363184363592443e-02,1.313912486296665676e-04,1.313912486296665676e-04,8.092385711732513753e-01,9.995740760132194591e-01,9.995740760174782746e-01
2.047815114256005403e-02,2.047815114256005403e-02,1.313861933950894584e-04,1.313861933950894584e-04,8.092074359887697632e-01,9.995356177332035408e-01,9.995356177378453832e-01
2.138077626625802669e-02,2.138077626625802669e-02,1.313806831052222418e-04,1.313806831052222418e-04,8.091734981192327814e-01,9.994936975675910995e-01,9.994936975726520512e-01
2.232318682313592581e-02,2.232318682313592581e-02,1.313746768377624516e-04,1.313746768377624516e-04,8.091365055242202287e-01,9.994480041952468197e-01,9.994480042007635179e-01
2.330713645449152688e-02,2.330713645449152688e-02,1.313681299979134009e-04,1.313681299979134009e-04,8.090961835444271388e-01,9.993981983561124327e-01,9.993981983621262888e-01
2.433445609769692083e-02,2.433445609769692083e-02,1.313609939902294428e-04,1.313609939902294428e-04,8.090522328805535013e-01,9.993439103547309132e-01,9.993439103612860031e-01
2.540705739321410042e-02,2.540705739321410042e-02,1.313532158614071055e-04,1.313532158614071055e-04,8.090043273932590040e-01,9.992847373427398150e-01,9.992847373498845442e-01
2.652693624178306328e-02,2.652693624178306328e-02,1.313447379115005749e-04,1.313447379115005749e-04,8.089521117086363455e-01,9.992202403611470940e-01,9.992202403689328660e-01
2.769617651840182437e-02,2.769617651840182437e-02,1.313354972708298757e-04,1.313354972708298757e-04,8.088951986124037763e-01,9.991499411216123727e-01,9.991499411301094646e-01
2.891695395000925747e-02,2.891695395000925747e-02,1.313254254396348090e-04,1.313254254396348090e-04,8.088331662145921142e-01,9.990733185043104703e-01,9.990733185135727279e-01
3.019154016408644517e-02,3.019154016408644517e-02,1.313144477872560021e-04,1.313144477872560021e-04,8.087655548650551918e-01,9.989898047478937837e-01,9.989898047579893747e-01
3.152230691571000082e-02,3.152230691571000082e-02,1.313024830074166125e-04,1.313024830074166125e-04,8.086918637985186509e-01,9.988987813054850395e-01,9.988987813164877938e-01
3.291173050092342095e-02,3.291173050092342095e-02,1.312894425258541052e-04,1.312894425258541052e-04,8.086115474861924612e-01,9.987995743381674618e-01,9.987995743501586476e-01
3.436239636463852415e-02,3.436239636463852415e-02,1.312752298562860833e-04,1.312752298562860833e-04,8.085240116691629897e-01,9.986914498154211284e-01,9.986914498284878983e-01
3.587700391164157232e-02,3.587700391164157232e-02,1.312597399003710046e-04,1.312597399003710046e-04,8.084286090468538744e-01,9.985736081894925897e-01,9.985736082037294237e-01
3.745837152965642014e-02,3.745837152965642014e-02,1.312428581869955896e-04,1.312428581869955896e-04,8.083246345917983744e-01,9.984451786081868230e-01,9.984451786236973048e-01
3.910944183381153544e-02,3.910944183381153544e-02,1.312244600458706094e-04,1.312244600458706094e-04,8.082113204598134759e-01,9.983052126279015059e-01,9.983052126447965469e-01
4.083328714226987233e-02,4.083328714226987233e-02,1.312044097100448887e-04,1.312044097100448887e-04,8.080878304623864139e-01,9.981526773858988566e-01,9.981526774042968064e-01
4.263311519321072440e-02,4.263311519321072440e-02,1.311825593415638484e-04,1.311825593415638484e-04,8.079532540657087258e-01,9.979864481878908400e-01,9.979864482079204846e-01
